,ID,Topic-Cosine,Topic-Labeled,Topic-Twirank,V1,V2
55,299246161628393472,Topic-13,Topic-13,Topic-13,-0.0376289092601703,0.0502491040223078
56,299276374970093568,Topic-13,Topic-13,Topic-13,-0.0715743928745317,0.048003309323518
57,299290006965587968,Topic-13,Topic-13,Topic-13,-0.00402829429189921,0.0579888222326348
58,299327510997524480,Topic-13,Topic-13,Topic-13,-0.0467589809597416,0.0428426902206819
59,299410657533632512,Topic-13,Topic-13,Topic-13,-0.0622927113767006,0.0417654339907584
60,299415188770279424,Topic-13,Topic-13,Topic-13,-0.0742982537957763,0.051981477705285
61,299417143634698240,Topic-1,Topic-13,Topic-13,-2.1450262149203,-0.400483430677249
62,299442951669551104,Topic-13,Topic-13,Topic-13,-0.724381946829536,0.0229396082193737
63,299466595108012032,Topic-13,Topic-13,Topic-13,0.410985939814258,-0.514143004938277
64,299507092484657152,Topic-13,Topic-13,Topic-13,-0.0340983683375059,0.0602157167325975
65,299510580774043648,Topic-13,Topic-13,Topic-13,-0.103358299263375,0.042592615853999
66,299511927598620672,Topic-13,Topic-13,Topic-13,0.425180379892395,-0.621545796681824
67,299554700297134080,Topic-13,Topic-13,Topic-13,-0.747829832302806,0.0914102793281748
68,299589098266583040,Topic-13,Topic-13,Topic-13,-2.15897375842425,-0.389453934033582
69,299589940403130368,Topic-13,Topic-13,Topic-13,0.403551255873536,-0.510722724443951
70,299643012814893056,Topic-13,Topic-13,Topic-13,-1.98129183224094,-0.389456949644963
71,299688571017760768,Topic-13,Topic-13,Topic-13,-0.0499947667998307,0.0652113905838518
72,299743156931526656,Topic-13,Topic-13,Topic-13,-0.709294682857013,0.0490501017491519
73,299753880219176960,Topic-13,Topic-13,Topic-13,-2.06252865024933,-0.388178451294059
74,299754170825703424,Topic-13,Topic-13,Topic-13,-1.99473832764171,0.489450546693455
75,299767519055589376,Topic-13,Topic-13,Topic-13,-0.381305855444773,0.0072136617985579
76,299889383413256192,Topic-13,Topic-13,Topic-13,0.362819977634692,-0.467915940109444
77,299925952639664128,Topic-13,Topic-13,Topic-13,-0.0335898778538197,0.0531828113485305
78,300010405617618944,Topic-13,Topic-13,Topic-13,-1.99987922025047,-0.366409854522867
79,300022776885043200,Topic-13,Topic-13,Topic-13,0.0157924405727821,0.902074003240186
80,300069642926436352,Topic-13,Topic-13,Topic-13,0.0117361780814111,0.896112109733779
81,300085697388367872,Topic-13,Topic-13,Topic-13,0.352829734984283,-0.561123379619783
